ClubID,CourseID,CourseName,NumHoles,MeasureMeters,Par1,Par2,Par3,Par4,Par5,Par6,Par7,Par8,Par9,Par10,Par11,Par12,Par13,Par14,Par15,Par16,Par17,Par18,Hcp1,Hcp2,Hcp3,Hcp4,Hcp5,Hcp6,Hcp7,Hcp8,Hcp9,Hcp10,Hcp11,Hcp12,Hcp13,Hcp14,Hcp15,Hcp16,Hcp17,Hcp18,ParW1,ParW2,ParW3,ParW4,ParW5,ParW6,ParW7,ParW8,ParW9,ParW10,ParW11,ParW12,ParW13,ParW14,ParW15,ParW16,ParW17,ParW18,HcpW1,HcpW2,HcpW3,HcpW4,HcpW5,HcpW6,HcpW7,HcpW8,HcpW9,HcpW10,HcpW11,HcpW12,HcpW13,HcpW14,HcpW15,HcpW16,HcpW17,HcpW18,MatchIndex1,MatchIndex2,MatchIndex3,MatchIndex4,MatchIndex5,MatchIndex6,MatchIndex7,MatchIndex8,MatchIndex9,MatchIndex10,MatchIndex11,MatchIndex12,MatchIndex13,MatchIndex14,MatchIndex15,MatchIndex16,MatchIndex17,MatchIndex18,SplitIndex1,SplitIndex2,SplitIndex3,SplitIndex4,SplitIndex5,SplitIndex6,SplitIndex7,SplitIndex8,SplitIndex9,SplitIndex10,SplitIndex11,SplitIndex12,SplitIndex13,SplitIndex14,SplitIndex15,SplitIndex16,SplitIndex17,SplitIndex18,TimestampUpdated
62,621,18 Huller,18,1,4,4,3,5,3,3,5,4,4,4,4,5,3,4,5,4,4,4,9,3,15,1,11,17,7,13,5,14,8,2,18,12,6,4,16,10,4,4,3,5,3,3,5,4,4,4,4,5,3,4,5,4,4,4,9,3,15,1,11,17,7,13,5,14,8,2,18,12,6,4,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
64,641,18 Huller,18,1,5,4,3,4,4,5,4,3,4,4,4,4,4,3,4,5,3,5,12,6,18,8,4,2,16,14,10,15,5,1,11,17,7,9,13,3,5,4,3,4,4,5,4,3,4,4,4,4,4,3,4,5,3,5,12,6,18,8,4,2,16,14,10,15,5,1,11,17,7,9,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
65,651,Par 3,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,5,1,9,8,7,10,6,14,13,12,15,11,18,17,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,5,1,9,8,7,10,6,14,13,12,15,11,18,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
65,652,18 Huller,18,1,4,5,3,4,4,4,3,5,4,4,4,3,5,4,4,3,4,5,9,1,15,5,13,7,17,3,11,14,10,16,4,8,12,18,6,2,4,5,3,4,4,4,3,5,4,4,4,3,5,4,4,3,4,5,9,1,15,5,13,7,17,3,11,14,10,16,4,8,12,18,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
66,661,Par 3,9,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,13,11,1,9,15,7,17,3,6,14,12,2,10,15,8,18,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,13,11,1,9,15,7,17,3,6,14,12,2,10,15,8,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
66,662,18 Huller,18,1,4,4,3,4,5,4,4,3,5,4,4,5,5,3,4,4,3,4,5,9,17,15,7,1,13,11,3,66,12,2,10,14,8,16,18,4,4,4,3,4,5,4,4,3,5,4,4,5,5,3,4,4,3,4,5,9,17,15,7,1,13,11,3,66,12,2,10,14,8,16,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
67,671,Lærkeagerbanen,9,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15,13,9,4,1,5,3,11,17,16,14,10,8,2,6,4,12,18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15,13,9,4,1,5,3,11,17,16,14,10,8,2,6,4,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
67,672,18 Huller,18,1,5,4,4,3,5,3,4,4,4,4,4,5,4,3,4,4,3,5,11,7,9,15,13,17,1,3,5,12,10,4,8,14,6,16,18,2,5,4,4,3,5,3,4,4,4,4,4,5,4,3,4,4,3,5,11,7,9,15,13,17,1,3,5,12,10,4,8,14,6,16,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
68,681,18 Huller,18,1,4,3,4,3,5,4,5,3,5,4,3,4,4,3,5,5,4,4,15,7,5,13,3,11,9,17,1,14,12,4,18,10,2,8,6,16,4,3,4,3,5,4,5,3,5,4,3,4,4,3,5,5,4,4,15,7,5,13,3,11,9,17,1,14,12,4,18,10,2,8,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
69,691,18 Huller,18,1,5,5,4,4,4,3,4,4,3,4,4,3,4,4,5,4,3,5,3,1,7,13,11,17,9,5,15,14,6,16,10,12,4,8,18,2,5,5,4,4,4,3,4,4,3,4,4,3,4,4,5,4,3,5,3,1,7,13,11,17,9,5,15,14,6,16,10,12,4,8,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
70,701,18 Huller,18,1,4,5,4,3,4,3,4,3,4,5,4,4,3,4,4,4,3,4,12,10,6,14,8,18,4,16,2,5,7,9,13,17,11,1,15,3,4,5,4,3,4,3,4,3,4,5,4,4,3,4,4,4,3,4,12,10,6,14,8,18,4,16,2,5,7,9,13,17,11,1,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
71,711,18 Huller,18,1,5,3,4,4,5,3,4,4,4,4,4,4,5,3,4,3,5,4,11,15,3,7,1,17,5,9,13,18,4,8,2,12,6,14,10,16,5,3,4,4,5,3,4,4,4,4,4,4,5,3,4,3,5,4,11,15,3,7,1,17,5,9,13,18,4,8,2,12,6,14,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
72,721,18 Huller,18,1,5,4,4,3,4,3,4,5,3,4,4,3,4,4,3,5,4,5,6,16,4,10,2,12,8,14,18,15,5,17,7,3,11,9,1,13,5,4,4,3,4,3,4,5,3,4,4,3,4,4,3,5,4,5,6,16,4,10,2,12,8,14,18,15,5,17,7,3,11,9,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
73,731,Pay & Play,9,1,3,3,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,13,17,15,5,9,11,7,3,1,14,18,16,6,10,12,8,4,2,3,3,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,13,17,15,5,9,11,7,3,1,14,18,16,6,10,12,8,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
73,732,18 Huller,18,1,4,4,3,4,3,5,5,4,4,5,3,5,4,3,5,3,4,4,5,3,13,1,17,9,7,15,11,4,8,2,6,18,10,14,12,16,4,4,3,4,3,5,5,4,4,5,3,5,4,3,5,3,4,4,5,3,13,1,17,9,7,15,11,4,8,2,6,18,10,14,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
75,751,Par 3,9,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,17,13,15,11,3,1,9,7,6,18,14,16,12,4,2,10,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,17,13,15,11,3,1,9,7,6,18,14,16,12,4,2,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
75,752,18 Huller,18,1,4,5,5,4,3,4,3,4,4,3,5,4,4,5,4,4,4,3,1,7,15,11,13,3,17,5,9,14,10,18,4,8,6,12,2,16,4,5,5,4,3,4,3,4,4,3,5,4,4,5,4,4,4,3,1,7,15,11,13,3,17,5,9,14,10,18,4,8,6,12,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
76,761,18 Huller,18,1,4,3,5,3,4,5,4,4,4,3,4,5,4,5,3,4,4,4,9,17,1,15,5,3,13,7,11,18,10,4,12,2,16,8,14,6,4,3,5,3,4,5,4,4,4,3,4,5,4,5,3,4,4,4,9,17,1,15,5,3,13,7,11,18,10,4,12,2,16,8,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
77,771,Nord + Syd,18,1,5,4,5,3,4,4,4,4,3,4,3,5,4,4,4,3,4,5,13,9,1,17,7,3,11,5,15,4,18,2,10,12,6,16,14,8,5,4,5,3,4,4,4,4,3,4,3,5,4,4,4,3,4,5,13,9,1,17,7,3,11,5,15,4,18,2,10,12,6,16,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
77,772,Vest + Nord,18,1,3,5,4,4,3,4,4,4,4,5,4,5,3,4,4,4,4,3,15,11,13,9,17,7,1,5,3,16,12,8,18,10,4,14,6,2,3,5,4,4,3,4,4,4,4,5,4,5,3,4,4,4,4,3,15,11,13,9,17,7,1,5,3,16,12,8,18,10,4,14,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
77,773,Syd + Vest,18,1,4,3,5,4,4,4,3,4,5,4,5,4,4,3,4,4,4,4,3,17,1,9,11,5,15,13,7,16,4,14,6,18,10,8,12,2,4,3,5,4,4,4,3,4,5,4,5,4,4,3,4,4,4,4,3,17,1,9,11,5,15,13,7,16,4,14,6,18,10,8,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
